"","date","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","usd_raw","eur_raw","gbp_raw","jpy_raw","cny_raw","gdp_dollar","adj_price","usd_adjusted","eur_adjusted","gbp_adjusted","jpy_adjusted","cny_adjusted","positive","balanced","ordering"
"1",2000-04-01,"ARG","ARS","Argentina",2.5,1,2.5,-0.00398,0.05007,-0.16722,-0.09864,1.09091,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,20
"2",2000-04-01,"AUS","AUD","Australia",2.59,1.68,1.54166666666667,-0.38579,-0.35246,-0.48645,-0.44416,0.28939,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,10
"3",2000-04-01,"BRA","BRL","Brazil",2.95,1.79,1.64804469273743,-0.34341,-0.30778,-0.45102,-0.40581,0.37836,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,11
"4",2000-04-01,"CAN","CAD","Canada",2.85,1.47,1.93877551020408,-0.22758,-0.18566,-0.35417,-0.30099,0.62152,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,15
"5",2000-04-01,"CHE","CHF","Switzerland",5.9,1.7,3.47058823529412,0.3827,0.45774,0.15609,0.2513,1.90267,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,26
"6",2000-04-01,"CHL","CLP","Chile",1260,514,2.45136186770428,-0.02336,0.02964,-0.18342,-0.11618,1.05023,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,19
"7",2000-04-01,"CHN","CNY","China",9.9,8.28,1.19565217391304,-0.52364,-0.49779,-0.60171,-0.56891,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,2
"8",2000-04-01,"CZE","CZK","Czech Republic",54.37,39.1,1.39053708439898,-0.446,-0.41594,-0.5368,-0.49865,0.16299,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,8
"9",2000-04-01,"DNK","DKK","Denmark",24.75,8.04,3.07835820895522,0.22644,0.29299,0.02544,0.10988,1.57463,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,25
"10",2000-04-01,"EUZ","EUR","Euro area",2.56,1.075268817,2.38080000045235,-0.05147,0,-0.20693,-0.14162,0.99121,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,18
"11",2000-04-01,"GBR","GBP","Britain",1.9,0.632911392,3.00200000192128,0.19602,0.26092,0,0.08235,1.51076,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,24
"12",2000-04-01,"HKG","HKD","Hong Kong",10.2,7.79,1.30937098844673,-0.47834,-0.45003,-0.56383,-0.52791,0.09511,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,5
"13",2000-04-01,"HUN","HUF","Hungary",339,279,1.21505376344086,-0.51591,-0.48964,-0.59525,-0.56192,0.01623,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,3
"14",2000-04-01,"IDN","IDR","Indonesia",14500,7945,1.82504719949654,-0.27289,-0.23343,-0.39206,-0.34199,0.5264,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,13
"15",2000-04-01,"JPN","JPY","Japan",294,106,2.77358490566038,0.10501,0.16498,-0.07609,0,1.31973,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,23
"16",2000-04-01,"KOR","KRW","South Korea",3000,1108,2.70758122743682,0.07872,0.13726,-0.09807,-0.0238,1.26452,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,21
"17",2000-04-01,"MEX","MXN","Mexico",20.9,9.41,2.22104144527099,-0.11512,-0.0671,-0.26015,-0.19922,0.8576,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16
"18",2000-04-01,"MYS","MYR","Malaysia",4.52,3.8,1.18947368421053,-0.52611,-0.50039,-0.60377,-0.57114,-0.00517,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,1
"19",2000-04-01,"NZL","NZD","New Zealand",3.4,2.01,1.69154228855721,-0.32608,-0.28951,-0.43653,-0.39012,0.41474,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,12
"20",2000-04-01,"POL","PLN","Poland",5.5,4.3,1.27906976744186,-0.49041,-0.46276,-0.57393,-0.53884,0.06977,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,4
"21",2000-04-01,"RUS","RUB","Russia",39.5,28.5,1.3859649122807,-0.44782,-0.41786,-0.53832,-0.5003,0.15917,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,7
"22",2000-04-01,"SGP","SGD","Singapore",3.2,1.7,1.88235294117647,-0.25006,-0.20936,-0.37297,-0.32133,0.57433,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,14
